name,CountAll,CountMajor,LengthAll,LengthMajor,OnewayMajor,TurnlanesMajor,TurnRestrictions,DestinationMajor,
Atlanta_GA.poly.sqlite, 27386, 4483, 7524943.94756605, 2101518.48493813, 3289, 194, 131, 286,
Atlantic_NJ.poly.sqlite, 6194, 1010, 1968336.18833379, 608521.769280929, 673, 19, 95, 0,
Austin_TX.poly.sqlite, 31930, 5641, 9177005.50677438, 2979682.92547492, 4136, 27, 89, 307,
Baltimore_MD.poly.sqlite, 48722, 7401, 10377008.8475896, 2688917.61467907, 5347, 127, 175, 589,
Boston_MA.poly.sqlite, 36571, 6693, 7111937.31190013, 2182624.61259631, 4326, 36, 157, 142,
Buffalo_NY.poly.sqlite, 8542, 1936, 2708389.46596724, 755711.114358478, 1463, 4, 62, 12,
Charlotte_NC.poly.sqlite, 23251, 3120, 7224868.76013122, 2126083.10800582, 2384, 57, 121, 55,
Chicago_IL.poly.sqlite, 95714, 12035, 29082497.2246757, 6059549.38179902, 6987, 67, 742, 363,
Columbus_OH.poly.sqlite, 20945, 3445, 6265230.95765073, 1568346.44050101, 2612, 10, 105, 12,
Denver_CO.poly.sqlite, 118211, 12705, 24059609.4782561, 5407066.48333793, 11458, 235, 232, 415,
Detroit_MI.poly.sqlite, 44839, 8498, 15502876.8117593, 3562269.0869808, 6255, 25, 878, 382,
ElPaso_TX.poly.sqlite, 12368, 2271, 4914553.87629196, 1570653.58863452, 1910, 6, 49, 50,
Fort_Worth_Dallas_TX.poly.sqlite, 83943, 18429, 32049814.4261798, 11537564.6552425, 16136, 344, 332, 1048,
Houston_TX.poly.sqlite, 144491, 20173, 38707183.2472346, 10911803.5754155, 15168, 111, 637, 543,
Indianapolis_IN.poly.sqlite, 38837, 3834, 8909699.0612792, 1987746.20944114, 3089, 85, 186, 3,
Jacksonville_FL.poly.sqlite, 33079, 5153, 10426104.5905679, 2917843.37405003, 3769, 18, 73, 117,
Kansas_MO.poly.sqlite, 49200, 6900, 14501912.2745657, 3886515.72255109, 5460, 69, 116, 50,
Knoxville_TN.poly.sqlite, 6586, 1346, 2602838.82622655, 749269.940696399, 1069, 0, 21, 1,
Las_Vegas_NV.poly.sqlite, 52773, 4222, 12463402.7420224, 2575849.34837695, 2821, 12, 55, 166,
Los_Angeles_CA.poly.sqlite, 359034, 123381, 77016478.4184301, 20133211.5290612, 65504, 54128, 5332, 1902,
Louisville_KY.poly.sqlite, 17353, 2096, 5356092.59566615, 1107734.94272586, 1659, 21, 166, 1,
Memphis_TN.poly.sqlite, 8331, 1835, 3156536.3932769, 1065903.77393472, 1174, 24, 37, 57,
Miami_FL.poly.sqlite, 54692, 10825, 15977264.4978251, 4674102.00400538, 7846, 158, 315, 255,
Milwaukee_WI.poly.sqlite, 22869, 4432, 6611703.9294803, 1855015.40558516, 3452, 53, 110, 215,
Minneapolis-StPaul_MN.poly.sqlite, 64474, 11341, 18410605.6279561, 5679804.90007126, 8486, 49, 103, 291,
Nashville_TN.poly.sqlite, 6767, 1707, 2476646.20676433, 826992.179136815, 1350, 10, 42, 0,
NewYork_NY.poly.sqlite, 87617, 17593, 23841140.6793071, 6641166.53469751, 14201, 19, 340, 415,
Oklahoma_OK.poly.sqlite, 32791, 8209, 8986783.57839825, 2989103.77233015, 6721, 1433, 259, 354,
Orlando_FL.poly.sqlite, 63852, 12204, 14134254.5916491, 4385022.39273345, 8363, 30, 299, 101,
Philadelphia_PA.poly.sqlite, 39655, 7132, 11419908.5622852, 2797563.85548089, 4909, 124, 557, 147,
Phoenix_AZ.poly.sqlite, 127773, 12462, 29601216.0456302, 7088018.33665928, 11177, 71, 541, 552,
Pittsburgh_PA.poly.sqlite, 34071, 5984, 7853485.36834177, 2122476.51956258, 3294, 340, 228, 137,
Portland_OR.poly.sqlite, 52234, 10125, 8131665.78833516, 2222946.55508137, 4881, 183, 1907, 156,
SFbay_CA.poly.sqlite, 127846, 26446, 26525915.6387067, 7241752.326529, 20469, 5710, 1574, 494,
San_Antonio_TX.poly.sqlite, 41517, 7847, 11830492.9572423, 3365483.50873112, 5843, 0, 185, 502,
San_Diego_CA.poly.sqlite, 66570, 9829, 16415521.2732775, 4459892.73815808, 7481, 509, 254, 1341,
Seattle_WA.poly.sqlite, 91919, 10838, 17841358.992838, 4168220.59163829, 5466, 612, 2080, 312,
Washington_DC.poly.sqlite, 66628, 10982, 13048770.7741558, 3476681.46121617, 8711, 680, 454, 228,
