name,CountAll,CountMajor,LengthAll,LengthMajor,OnewayMajor,TurnlanesMajor,TurnRestrictions,DestinationMajor
Atlanta_GA,27601,4486,7540290.47258777,2101464.02221638,3292,195,131,287
Austin_TX,32143,5681,9222798.91889443,2984178.29147037,4160,27,91,310
Baltimore_MD,38003,6137,7935739.78761222,2048010.24531148,4406,115,121,536
Boston_MA,36582,6693,7112950.88614566,2182624.61260332,4326,36,161,142
Charlotte_NC,23339,3120,7240479.0232652,2126083.12238548,2384,57,121,62
Chicago_IL,95886,12068,29101386.6158889,6063214.31059604,7006,69,770,366
Columbus_OH,20965,3452,6272168.34936333,1567337.52203776,2615,10,105,56
Denver_CO,118973,12728,24096062.3171086,5407202.03606144,11483,235,232,435
Detroit_MI,45551,8796,15637165.8924637,3565515.33814002,6447,29,1014,448
ElPaso_TX,12389,2271,4917521.14075524,1570739.45765224,1910,6,49,50
Fort_Worth_Dallas_TX,84006,18436,32057625.1146535,11537564.5112954,16141,344,332,1073
Houston_TX,144860,20217,38733717.7222498,10912519.2999433,15176,111,638,549
Indianapolis_IN,37385,3785,8513150.34959487,1896396.52813349,3056,85,186,141
Jacksonville_FL,33078,5152,10426076.2291066,2917827.29066095,3769,18,73,135
Las_Vegas_NV,52777,4218,12463406.4120038,2575846.67236109,2821,12,55,168
Los_Angeles_CA,359500,123433,77056801.0353904,20136949.3753806,65589,54128,5369,1902
Louisville_KY,16648,2048,5090476.03950269,1041572.08422453,1627,19,165,47
Memphis_TN,8337,1837,3159300.93311849,1065903.79080412,1176,24,37,83
Milwaukee_WI,22974,4462,6612910.6635113,1855631.06660963,3468,54,110,217
Nashville_TN,6769,1710,2476640.55110815,826992.179136815,1353,10,42,45
NewYork_NY,87794,17589,23864542.2066341,6641426.66386787,14189,25,338,451
Oklahoma_OK,32794,8209,8987444.01765712,2989103.77233015,6721,1433,259,354
Philadelphia_PA,39717,7132,11429732.5138542,2797552.99794478,4909,124,557,148
Phoenix_AZ,127831,12481,29574512.8213422,7074277.36380001,11201,71,557,555
Portland_OR,52503,10133,8140217.28542879,2222943.17715813,4885,184,1906,157
SFbay_CA,130343,28708,26542355.1798818,7235199.37102096,21723,7072,1746,496
San_Antonio_TX,41563,7893,11831205.3990737,3366297.6369043,5889,0,185,511
San_Diego_CA,66596,9826,16421892.846461,4460672.39895036,7479,509,253,1341
Seattle_WA,92107,10826,17845921.6890306,4160843.32995721,5454,612,2080,317
Washington_DC,52974,9195,10340739.943043,2812134.90581515,7069,676,400,240
